Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,10169142,2,"Tuesday, October 19, 2010 04:31:07 UTC",33.8483,-116.5175,1.1,15.60,33,"Southern California"
nc,71476001,2,"Tuesday, October 19, 2010 04:12:02 UTC",37.4755,-118.8405,1.2,5.40,27,"Central California"
nm,101910c,A,"Tuesday, October 19, 2010 04:05:26 UTC",35.3133,-92.3140,2.1,2.30, 7,"Arkansas"
nm,101910b,A,"Tuesday, October 19, 2010 03:59:00 UTC",35.3180,-92.2982,2.5,3.80, 8,"Arkansas"
us,a00041p4,5,"Tuesday, October 19, 2010 03:56:56 UTC",19.2978,-68.1564,4.0,22.00,35,"Dominican Republic region"
ak,10103576,2,"Tuesday, October 19, 2010 03:47:56 UTC",51.8415,-173.9198,2.1,10.00, 5,"Andreanof Islands, Aleutian Islands, Alaska"
ci,14863332,5,"Tuesday, October 19, 2010 03:36:33 UTC",33.1553,-115.6560,1.3,0.70,25,"Southern California"
ci,14863316,4,"Tuesday, October 19, 2010 03:27:44 UTC",33.1548,-115.6610,1.5,1.40,26,"Southern California"
nc,71475981,0,"Tuesday, October 19, 2010 03:00:08 UTC",38.9153,-122.9102,1.2,5.40,10,"Northern California"
ci,14863284,4,"Tuesday, October 19, 2010 02:41:51 UTC",32.2935,-115.4313,2.3,10.00,14,"Baja California, Mexico"
ci,14863260,4,"Tuesday, October 19, 2010 02:19:40 UTC",33.6573,-116.7753,1.1,15.80,44,"Southern California"
ci,36880759,2,"Tuesday, October 19, 2010 02:11:53 UTC",33.2233,-115.9717,1.0,9.80,16,"Southern California"
ak,10103457,1,"Tuesday, October 19, 2010 01:37:42 UTC",62.2099,-145.7598,1.9,19.50, 7,"Central Alaska"
nc,71476161,2,"Tuesday, October 19, 2010 01:36:09 UTC",37.6790,-119.3603,1.4,21.50,10,"Central California"
ak,10103454,1,"Tuesday, October 19, 2010 01:32:52 UTC",60.6570,-143.1240,1.8,0.00,13,"Southern Alaska"
ci,14863236,4,"Tuesday, October 19, 2010 01:15:19 UTC",32.6335,-115.6682,1.4,11.90,16,"Baja California, Mexico"
us,a00041my,6,"Tuesday, October 19, 2010 00:38:29 UTC",47.4185,11.6078,3.9,14.50,22,"Austria"
us,a00041mx,6,"Tuesday, October 19, 2010 00:24:05 UTC",-41.3012,-90.3446,5.0,10.60,57,"southeast of Easter Island"
ci,14863204,4,"Tuesday, October 19, 2010 00:04:02 UTC",33.1848,-115.6040,2.7,1.60,55,"Southern California"
ci,14863180,4,"Monday, October 18, 2010 23:57:06 UTC",34.0062,-116.8547,1.0,20.40,33,"Southern California"
nc,71475956,2,"Monday, October 18, 2010 23:50:01 UTC",36.5177,-121.0997,1.0,4.80,14,"Central California"
nc,71475951,2,"Monday, October 18, 2010 23:43:50 UTC",36.5582,-121.1568,1.3,7.90,28,"Central California"
nc,71475946,2,"Monday, October 18, 2010 23:39:33 UTC",37.9932,-118.7260,1.3,7.00,11,"Central California"
nn,00318950,7,"Monday, October 18, 2010 23:35:20 UTC",36.8627,-117.4962,1.0,2.90,10,"Central California"
ci,14863164,6,"Monday, October 18, 2010 23:29:01 UTC",32.6887,-115.8822,1.5,5.70,23,"Southern California"
nc,71475936,2,"Monday, October 18, 2010 23:15:44 UTC",40.4130,-122.1525,1.2,11.70,10,"Northern California"
us,a00041mb,6,"Monday, October 18, 2010 23:13:14 UTC",-3.6220,101.3927,4.7,62.40,30,"southern Sumatra, Indonesia"
ci,14863156,4,"Monday, October 18, 2010 22:52:13 UTC",35.9627,-117.6577,1.2,3.60,23,"Central California"
us,b00004bs,4,"Monday, October 18, 2010 22:32:13 UTC",-43.6300,172.5600,4.7,9.00, 0,"South Island of New Zealand"
ak,10103291,1,"Monday, October 18, 2010 22:29:32 UTC",62.5080,-151.3975,1.8,103.80, 8,"Central Alaska"
nc,71475916,1,"Monday, October 18, 2010 22:22:46 UTC",38.8068,-122.7965,1.4,4.10,30,"Northern California"
uw,10182210,1,"Monday, October 18, 2010 22:10:33 UTC",47.1981,-120.9591,2.2,2.40,38,"Washington"
nc,71475906,2,"Monday, October 18, 2010 21:55:32 UTC",35.6072,-120.8660,1.1,8.60,16,"Central California"
nc,71475896,2,"Monday, October 18, 2010 21:39:43 UTC",39.1815,-123.1233,1.4,2.70,12,"Northern California"
nn,00318946,7,"Monday, October 18, 2010 21:18:51 UTC",39.2810,-118.5762,1.4,21.30, 6,"Nevada"
pr,10291004,0,"Monday, October 18, 2010 21:11:35 UTC",18.6840,-66.3209,2.6,65.00, 7,"Puerto Rico region"
nc,71475876,4,"Monday, October 18, 2010 21:01:24 UTC",36.5457,-121.1345,1.0,2.80,10,"Central California"
ci,14863140,4,"Monday, October 18, 2010 20:56:19 UTC",32.7398,-115.8262,1.5,4.70,29,"Southern California"
nc,71475871,4,"Monday, October 18, 2010 20:41:41 UTC",37.6288,-119.0527,1.7,3.40,32,"Central California"
hv,60185371,1,"Monday, October 18, 2010 20:32:17 UTC",19.5403,-155.9462,2.0,37.80,21,"Island of Hawaii, Hawaii"
ak,10103212,1,"Monday, October 18, 2010 20:22:14 UTC",61.6251,-146.3311,2.2,21.60,23,"Southern Alaska"
nc,71475846,0,"Monday, October 18, 2010 20:12:31 UTC",38.7715,-122.7360,1.4,2.50,17,"Northern California"
ak,10103208,1,"Monday, October 18, 2010 20:11:54 UTC",62.3420,-149.9867,1.7,7.20, 8,"Central Alaska"
ci,14863124,6,"Monday, October 18, 2010 20:08:19 UTC",32.1885,-115.3578,2.1,6.00,12,"Baja California, Mexico"
ci,14863100,3,"Monday, October 18, 2010 19:35:16 UTC",35.0410,-117.6757,1.2,0.00,13,"Southern California"
nc,71475836,0,"Monday, October 18, 2010 19:23:31 UTC",38.7058,-122.6867,1.3,14.20, 7,"Northern California"
ci,14863092,4,"Monday, October 18, 2010 19:20:30 UTC",34.4275,-119.3467,1.7,11.40,30,"Southern California"
nm,101810e,A,"Monday, October 18, 2010 18:25:05 UTC",35.3101,-92.3130,2.1,3.20, 7,"Arkansas"
ci,14863076,4,"Monday, October 18, 2010 18:03:32 UTC",36.0615,-117.5862,1.6,1.60,32,"Central California"
ak,10102983,1,"Monday, October 18, 2010 17:56:57 UTC",60.5350,-143.3833,2.2,12.00,20,"Southern Alaska"
ak,10102964,1,"Monday, October 18, 2010 17:30:07 UTC",61.9392,-148.5127,2.0,18.30,11,"Southern Alaska"
ak,10102956,1,"Monday, October 18, 2010 17:28:09 UTC",62.9448,-151.0856,1.8,125.10,11,"Central Alaska"
